Category: All categories

Week,Python: (Worldwide),Java: (Worldwide),TypeScript: (Worldwide),Interest rate: (Worldwide),Regulation: (Worldwide)
2025-06-08,64,35,5,26,19
2025-06-15,61,35,4,26,18
2025-06-22,66,41,4,24,18
2025-06-29,59,35,4,28,18
2025-07-06,58,44,4,27,17
2025-07-13,62,40,4,30,20
2025-07-20,62,40,4,31,21
2025-07-27,64,38,5,38,24
2025-08-03,73,36,6,42,35
2025-08-10,82,37,7,44,46
2025-08-17,79,37,6,45,45
2025-08-24,75,36,5,36,37
2025-08-31,79,36,5,44,39
2025-09-07,78,37,5,43,43
2025-09-14,75,38,5,56,42
2025-09-21,75,39,6,41,53
2025-09-28,75,36,5,40,55
2025-10-05,78,38,6,36,51
2025-10-12,81,38,6,34,50
2025-10-19,75,35,5,34,49
2025-10-26,74,36,5,39,45
2025-11-02,77,38,5,34,46
2025-11-09,60,32,4,23,18
2025-11-16,60,32,3,23,19
2025-11-23,40,25,2,20,13
